title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
teddy bear,Stanisław Bareja,"Zespol Filmowy ""Perspektywa""",Stanislaw Tym,Barbara Burska,Christine Paul-Podlasky,110.0,Comedy Foreign,Polski,Poland,400.0,1200.0,1981.0
modern problems,Ken Shapiro,20th Century Fox,Chevy Chase,Patti D'Arbanville,Dabney Coleman,89.0,Comedy,English,United States of America,8000000.0,26154211.0,1981.0
modern romance,Albert Brooks,Columbia Pictures Corporation,Albert Brooks,Kathryn Harrold,Bruno Kirby,93.0,Comedy Romance,English,United States of America,,,1981.0
ms .45,Abel Ferrara,Navaron Films,Zoë Lund,Albert Sinkys,Darlene Stuto,81.0,Crime Drama Horror Thriller,English,United States of America,62000.0,,1981.0
my bloody valentine,George Mihalka,Paramount Pictures Famous Players Ltd Canadian Film Development Corporation (CFDC) Secret Films,Paul Kelman,Lori Hallier,Neil Affleck,90.0,Thriller Horror Mystery,English,Canada,2200000.0,5672031.0,1981.0
my dinner with andré,Louis Malle,The Andre Company Saga Productions Inc.,Wallace Shawn,Andre Gregory,Jean Lenauer,110.0,Comedy Drama,English,United States of America,475000.0,5250000.0,1981.0
neighbors,John G. Avildsen,Columbia Pictures,John Belushi,Kathryn Walker,Cathy Moriarty,94.0,Comedy,English,United States of America,8500000.0,29916207.0,1981.0
night of the zombies,Joel M. Reed,Films Dara Beatrice Film,Jamie Gillis,Samantha Grey,Ryan Hilliard,88.0,Horror,English,Italy Spain,,,1981.0
the night the lights went out in georgia,Ronald F. Maxwell,Viacom Enterprises,Kristy McNichol,Dennis Quaid,Mark Hamill,120.0,Drama Music,English,United States of America,,,1981.0
only when i laugh,Glenn A. Jordan,Columbia Pictures,Marsha Mason,Kristy McNichol,James Coco,120.0,Comedy Drama,English,United States of America,,,1981.0
pennies from heaven,Herbert Ross,SLM Production Group Metro-Goldwyn-Mayer (MGM) Hera Productions,Steve Martin,Bernadette Peters,Jessica Harper,108.0,Drama Music Romance,English,United States of America,22000000.0,9171289.0,1981.0
pieces,Juan Piquer Simón,Almena Films Film Ventures International (FVI) Filmirage Montoro Productions Ltd. Fort Films,Christopher George,Lynda Day George,Frank Braña,85.0,Horror Mystery,Italiano English Español,Spain United States of America Puerto Rico Italy,3400.0,1198346.0,1982.0
piranha part two: the spawning,James Cameron,Brouwersgracht Investments Chako Film Company,Tricia O'Neil,Steve Marachuk,Lance Henriksen,84.0,Horror,English,Italy United States of America Netherlands,145786.0,,1981.0
polyester,John Waters,New Line Cinema,Divine,Tab Hunter,Edith Massey,86.0,Comedy,English,United States of America,300000.0,,1981.0
private lessons,Alan Myerson,Jensen Farley Pictures Barry & Enright Productions,Sylvia Kristel,Howard Hesseman,Eric Brown,87.0,Romance Comedy,English,United States of America,2800000.0,26279000.0,1981.0
the professional,Georges Lautner,Gaumont Les Films du Dauphin,Jean-Paul Belmondo,Robert Hossein,Elisabeth Margoni,108.0,Action Adventure Thriller,Français,France,16000000.0,45284974.0,1981.0
derrida,Kirby Dick Amy Ziering,Jane Doe Films,Jacques Derrida,unknown,unknown,84.0,Documentary,English Français,United States of America,,,2002.0
ghost ship,Steve Beck,Village Roadshow Pictures NPV Entertainment Dark Castle Entertainment Warner Bros. Ghost Ship Films Pty. Ltd.,Gabriel Byrne,Julianna Margulies,Desmond Harrington,91.0,Horror Mystery Thriller,English Italiano Español,Australia United States of America,35000000.0,68349884.0,2002.0
jackass: the movie,Jeff Tremaine,Paramount Pictures MTV Films Dickhouse Productions Lynch Siderow Productions,Johnny Knoxville,Bam Margera,Steve-O,87.0,Documentary Comedy,English,United States of America,5000000.0,64282312.0,2002.0
paid in full,Charles Stone III,Roc-a-fella Films Dimension Films Rat Entertainment Loud Films,Wood Harris,Cam'ron,Mekhi Phifer,93.0,Action Crime Drama,English Deutsch,United States of America,,3090862.0,2002.0
